countyName,geometry,countyFIPS,stateName,population,2020-10-25,case_rate_100k
Worth,"POLYGON ((-94.6320259176948 40.5717595874, -94.533878 40.570739, -94.47120772712319 40.570959458357, -94.31072399999999 40.571524, -94.23224071020829 40.57201461212659, -94.23156499999999 40.470357, -94.21427799999999 40.384254, -94.59848699999999 40.386714, -94.608429 40.463658, -94.631889 40.472513, -94.6320259176948 40.5717595874))",29227,MO,2013.0,34.0,1689.0213611525087
Franklin,"POLYGON ((-99.17940299999999 40.350681, -98.726827 40.350398, -98.72637296393901 40.0023362731669, -99.06701834989809 40.0021435130522, -99.08559699999999 40.002133, -99.17913315086109 40.0021089526949, -99.17940299999999 40.350681))",31061,NE,2979.0,89.0,2987.5797247398455
Chautauqua,"POLYGON ((-79.761951 42.26986, -79.627484 42.324686, -79.45353299999999 42.411157, -79.38194299999999 42.466491, -79.28336399999999 42.511228, -79.19323199999999 42.545881, -79.13856899999999 42.564462, -79.1359444040216 42.5691787099736, -79.107778 42.569965, -79.060777 42.537853, -79.0612644031599 41.99883810991101, -79.472472 41.998255, -79.6108357749867 41.99851990410839, -79.761313 41.998808, -79.76212199999999 42.131246, -79.761951 42.26986))",36013,NY,126903.0,884.0,696.595037154362
Vance,"POLYGON ((-78.49772899999999 36.51467299999999, -78.45727789625589 36.54144870839949, -78.323718509559 36.5424213915586, -78.277165 36.306132, -78.30696499999999 36.266191, -78.37814 36.235065, -78.42188 36.164309, -78.49661399999999 36.175199, -78.511224 36.454808, -78.49772899999999 36.51467299999999))",37181,NC,44535.0,1179.0,2647.356012125295
Weakley,"POLYGON ((-88.949163 36.410099, -88.81641999999999 36.410732, -88.82717803634048 36.5019683222569, -88.81676415734809 36.5019514318132, -88.5163580599794 36.5014641981633, -88.530322 36.152023, -88.53223299999999 36.115416, -88.65548799999999 36.117338, -88.69270899999999 36.062746, -88.863298 36.137639, -88.959839 36.222834, -88.949163 36.410099))",47183,TN,33328.0,1561.0,4683.749399903984
Kent,"POLYGON ((-71.78969543168239 41.7251982448091, -71.456412 41.732389, -71.39957699999999 41.768321, -71.37827299999999 41.755297, -71.365207 41.735649, -71.33096999999999 41.686962, -71.38054199999999 41.650326, -71.484427 41.602591, -71.7893586727423 41.5968521603427, -71.789356 41.59691, -71.789464590839 41.6400171907069, -71.78967799999999 41.724734, -71.78969543168239 41.7251982448091))",44003,RI,164292.0,2287.0,1392.033696102062
Pueblo,"POLYGON ((-105.049215 38.257973, -104.940366 38.258275, -104.941533 38.519569, -104.053921 38.522393, -104.058242 38.14649199999999, -104.061132 37.734704, -104.351109 37.817488, -104.646383 37.900527, -105.013729 37.881271, -105.049917 37.915479, -105.049215 38.257973))",08101,CO,168424.0,1904.0,1130.4802165962096
Stark,"POLYGON ((-89.98455899999999 41.149394, -89.86815199999999 41.149493, -89.867847 41.214925, -89.85761599999999 41.234479, -89.63870799999999 41.23386199999999, -89.638536 41.148545, -89.63852799999999 41.141321, -89.638727 40.973707, -89.985479 40.974495, -89.98455899999999 41.149394))",17175,IL,5342.0,86.0,1609.8839385997753
Pulaski,"POLYGON ((-92.40923099999999 37.85917999999999, -92.40687199999999 37.977802, -92.40627499999999 38.021179, -92.18536999999999 38.016338, -92.021165 38.010639, -92.029258 37.602542, -92.183261 37.605243, -92.24946299999999 37.604543, -92.248865 37.648442, -92.413669 37.713941, -92.40923099999999 37.85917999999999))",29169,MO,52607.0,979.0,1860.9690725568842
Pocahontas,"POLYGON ((-94.91388999999999 42.9097, -94.442954 42.90807299999999, -94.443083 42.645164, -94.44302399999999 42.558843, -94.914485 42.560309, -94.91388999999999 42.9097))",19151,IA,6619.0,223.0,3369.0889862516997
Evangeline,"POLYGON ((-92.630347 30.487873, -92.58350799999999 30.56269, -92.597741 30.896101, -92.508854 30.896003, -92.48033 30.952271, -92.383033 31.001454, -92.280738 30.965071, -92.23769799999999 30.84821, -92.212711 30.848607, -92.172415 30.767935, -92.17240799999999 30.673767, -92.211243 30.568125, -92.26271899999999 30.538738, -92.45891399999999 30.52793, -92.49325899999999 30.480499, -92.631987 30.481147, -92.630347 30.487873))",22039,LA,33395.0,1411.0,4225.183410690223
